gamma_mN_m,mu_mPa_s,We,Oh,Bo,cor
72.8,2,0.557578,0.0135536,0.0120914,0.845631
72.8,2,0.7091,0.0135536,0.0120914,0.825289
72.8,2,0.901799,0.0135536,0.0120914,0.803371
72.8,2,1.14686,0.0135536,0.0120914,0.78017
72.8,2,1.45853,0.0135536,0.0120914,0.756009
72.8,2,1.85488,0.0135536,0.0120914,0.731099
72.8,2,2.35895,0.0135536,0.0120914,0.705807
72.8,2,3,0.0135536,0.0120914,0.680339
72.8,4,0.0002,0.0271073,0.0120914,0
72.8,4,0.000225544,0.0271073,0.0120914,0
72.8,4,0.00025435,0.0271073,0.0120914,0
72.8,4,0.00032347,0.0271073,0.0120914,0
72.8,4,0.000364784,0.0271073,0.0120914,0
72.8,4,0.000411374,0.0271073,0.0120914,0
72.8,4,0.000463915,0.0271073,0.0120914,0
72.8,4,0.000523166,0.0271073,0.0120914,0
72.8,4,0.000555571,0.0271073,0.0120914,0
72.8,4,0.000572519,0.0271073,0.0120914,0.403476
72.8,4,0.000589984,0.0271073,0.0120914,0.53622
72.8,4,0.000607982,0.0271073,0.0120914,0.615988
72.8,4,0.000626529,0.0271073,0.0120914,0.670762
72.8,4,0.000645641,0.0271073,0.0120914,0.711079
72.8,4,0.000665337,0.0271073,0.0120914,0.742106
72.8,4,0.000685633,0.0271073,0.0120914,0.766754
72.8,4,0.000706548,0.0271073,0.0120914,0.786802
72.8,4,0.000750313,0.0271073,0.0120914,0.817364
72.8,4,0.000796789,0.0271073,0.0120914,0.839439
72.8,4,0.000846143,0.0271073,0.0120914,0.85598
72.8,4,0.000954212,0.0271073,0.0120914,0.878704
72.8,4,0.00107608,0.0271073,0.0120914,0.893081
72.8,4,0.00136851,0.0271073,0.0120914,0.909119
72.8,4,0.00174041,0.0271073,0.0120914,0.917824
72.8,4,0.00221336,0.0271073,0.0120914,0.921608
72.8,4,0.00281485,0.0271073,0.0120914,0.922012
72.8,4,0.00357979,0.0271073,0.0120914,0.922633
72.8,4,0.0045526,0.0271073,0.0120914,0.923088
72.8,4,0.00578978,0.0271073,0.0120914,0.922802
72.8,4,0.00736316,0.0271073,0.0120914,0.923658
72.8,4,0.00936411,0.0271073,0.0120914,0.92433
72.8,4,0.0119088,0.0271073,0.0120914,0.924607
72.8,4,0.0151451,0.0271073,0.0120914,0.924863
72.8,4,0.0192608,0.0271073,0.0120914,0.924517
72.8,4,0.0244949,0.0271073,0.0120914,0.923625
72.8,4,0.0311514,0.0271073,0.0120914,0.922332
72.8,4,0.0396169,0.0271073,0.0120914,0.920004
72.8,4,0.0503828,0.0271073,0.0120914,0.916815
72.8,4,0.0640744,0.0271073,0.0120914,0.912372
72.8,4,0.0814868,0.0271073,0.0120914,0.906396
72.8,4,0.103631,0.0271073,0.0120914,0.898747
72.8,4,0.131793,0.0271073,0.0120914,0.889123
72.8,4,0.167608,0.0271073,0.0120914,0.877463
72.8,4,0.213155,0.0271073,0.0120914,0.863599
72.8,4,0.271081,0.0271073,0.0120914,0.847589
72.8,4,0.344747,0.0271073,0.0120914,0.829406
72.8,4,0.438433,0.0271073,0.0120914,0.809294
72.8,4,0.557578,0.0271073,0.0120914,0.787339
72.8,4,0.7091,0.0271073,0.0120914,0.763855
72.8,4,0.901799,0.0271073,0.0120914,0.739126
72.8,4,1.14686,0.0271073,0.0120914,0.713461
72.8,4,1.45853,0.0271073,0.0120914,0.687188
72.8,4,1.85488,0.0271073,0.0120914,0.660626
72.8,4,2.35895,0.0271073,0.0120914,0.634061
72.8,4,3,0.0271073,0.0120914,0.60776
72.8,8,0.0002,0.0542146,0.0120914,0
72.8,8,0.00025435,0.0542146,0.0120914,0
72.8,8,0.00032347,0.0542146,0.0120914,0
72.8,8,0.000411374,0.0542146,0.0120914,0
72.8,8,0.000523166,0.0542146,0.0120914,0
72.8,8,0.000589984,0.0542146,0.0120914,0
72.8,8,0.000607982,0.0542146,0.0120914,0
72.8,8,0.000626529,0.0542146,0.0120914,0.230755
72.8,8,0.000645641,0.0542146,0.0120914,0.384164
72.8,8,0.000665337,0.0542146,0.0120914,0.473288
72.8,8,0.000685633,0.0542146,0.0120914,0.535843
72.8,8,0.000706548,0.0542146,0.0120914,0.583185
72.8,8,0.000728102,0.0542146,0.0120914,0.620614
72.8,8,0.000750313,0.0542146,0.0120914,0.651086
72.8,8,0.000773202,0.0542146,0.0120914,0.676436
72.8,8,0.000796789,0.0542146,0.0120914,0.697877
72.8,8,0.000821095,0.0542146,0.0120914,0.716253
72.8,8,0.000846143,0.0542146,0.0120914,0.732174
72.8,8,0.000898554,0.0542146,0.0120914,0.758359
72.8,8,0.000954212,0.0542146,0.0120914,0.778948
72.8,8,0.00107608,0.0542146,0.0120914,0.809011
72.8,8,0.00121352,0.0542146,0.0120914,0.829587
72.8,8,0.00136851,0.0542146,0.0120914,0.844306
72.8,8,0.00174041,0.0542146,0.0120914,0.864068
72.8,8,0.00221336,0.0542146,0.0120914,0.875682
72.8,8,0.00281485,0.0542146,0.0120914,0.882144
72.8,8,0.00357979,0.0542146,0.0120914,0.88612
72.8,8,0.0045526,0.0542146,0.0120914,0.889153
72.8,8,0.00578978,0.0542146,0.0120914,0.890371
72.8,8,0.00736316,0.0542146,0.0120914,0.891075
72.8,8,0.00936411,0.0542146,0.0120914,0.891221
72.8,8,0.0119088,0.0542146,0.0120914,0.890382
72.8,8,0.0151451,0.0542146,0.0120914,0.889212
72.8,8,0.0192608,0.0542146,0.0120914,0.88704
72.8,8,0.0244949,0.0542146,0.0120914,0.884131
72.8,8,0.0311514,0.0542146,0.0120914,0.88024
