surface,population,R_m,Oh,Bo,We,cor_theirs,We_ours,cor_ours
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.085813165,0.93285295,0.085800363,0.93285295
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.10414091,0.92760582,0.1041281,0.92760582
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.12638304,0.92126084,0.12637023,0.92126084
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.15337558,0.91377369,0.15336278,0.91377369
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.18613312,0.90502495,0.18612031,0.90502495
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.22588692,0.89493891,0.22587412,0.89493891
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.27413123,0.88354302,0.27411843,0.88354302
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.33267943,0.87074215,0.33266663,0.87074215
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.40373219,0.85669362,0.40371939,0.85669362
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.48996021,0.84140178,0.48994741,0.84140178
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.59460457,0.82501204,0.59459177,0.82501204
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.72159859,0.80754472,0.72158579,0.80754472
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.87571565,0.78917846,0.87570285,0.78917846
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.0627486,0.76997613,1.0627358,0.76997613
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.2897275,0.75014307,1.2897147,0.75014307
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.565184,0.72978983,1.5651712,0.72978983
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.8994718,0.70919378,1.899459,0.70919378
glaco,small,4.8538987e-05,0.016941069,0.00032004651,2.3051557,0.68844471,2.3051429,0.68844471
glaco,small,4.8538987e-05,0.016941069,0.00032004651,2.7974846,0.66767003,2.7974718,0.66767003
glaco,small,4.8538987e-05,0.016941069,0.00032004651,3.3949637,0.64693936,3.3949509,0.64693936
glaco,small,4.8538987e-05,0.016941069,0.00032004651,4.1200508,0.62651252,4.120038,0.62651252
glaco,small,4.8538987e-05,0.016941069,0.00032004651,5,0.60639212,4.9999872,0.60639212
glaco,small,0.00048194731,0.0053763359,0.031552283,9.4096916e-07,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,1.1419388e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,1.3858309e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,1.6818129e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,2.0410099e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,2.4769233e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,3.0059378e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,3.6479378e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,4.4270543e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,5.3725725e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,6.5200319e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,7.9125624e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,9.6025059e-06,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,1.1653383e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,1.4142281e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,1.716275e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,2.0828323e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,2.527678e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,3.0675325e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,3.7226878e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,4.5177692e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,5.482662e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,6.653634e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,8.074699e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,9.7992711e-05,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00011892173,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.0001443207,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00017514433,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00021255117,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00025794727,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00031303894,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00037989695,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.0004610343,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00055950074,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00067899738,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.00082401579,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.0010000068,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.0012135856,0,NaN,0
glaco,small,0.00048194731,0.0053763359,0.031552283,0.001336916,0,7.4824659e-05,0
